WSPD,WVHT,APD
14.2,5.60,7.57
14.0,6.06,8.20
13.9,5.98,8.03
13.8,5.98,8.02
13.9,5.49,7.90
13.0,5.14,7.67
13.0,5.26,7.86
11.3,5.40,8.11
12.0,5.44,7.99
12.9,5.46,7.83
10.9,5.10,7.73
10.9,5.55,7.96
10.3,5.15,8.02
9.2,4.99,7.64
8.8,4.88,7.76
8.1,4.89,7.90
8.1,4.94,8.06
8.1,4.38,7.51
8.1,4.03,7.26
7.1,4.20,7.79
6.5,4.32,8.02
6.3,3.76,7.56
7.1,3.79,7.82
6.3,3.89,8.01
6.4,3.84,7.86
6.0,3.81,7.84
4.9,3.21,7.29
5.0,3.80,7.83
5.2,3.38,7.18
4.4,3.58,7.62
2.9,3.16,7.22
2.8,3.29,7.38
2.8,3.04,7.30
0.4,2.88,7.37
2.7,2.84,7.20
3.0,2.49,7.57
3.1,2.49,7.61
4.8,2.52,7.52
6.3,2.37,7.12
6.3,2.38,7.07
5.3,2.35,6.77
4.9,2.36,6.99
6.7,2.55,7.20
6.9,2.36,6.78
7.8,2.64,6.80
7.5,2.47,6.58
8.8,2.33,6.22
9.5,2.26,5.86
9.3,2.39,5.86
10.3,2.53,5.80
10.7,2.39,5.56
10.0,2.30,5.63
10.2,2.46,5.54
10.8,2.46,5.64
9.7,2.33,5.37
10.5,2.36,5.18
10.3,2.42,5.28
10.4,2.29,5.10
10.8,2.39,5.18
11.6,2.37,5.35
11.5,2.49,5.32
12.1,2.64,5.46
12.2,2.65,5.36
12.4,2.95,5.66
11.6,2.94,5.77
12.5,3.17,5.79
13.5,3.12,5.70
14.0,3.42,5.91
13.5,3.38,5.83
13.8,3.65,6.18
12.7,3.60,6.15
13.7,4.22,6.51
11.8,4.54,7.07
13.1,4.72,7.01
13.1,5.09,7.23
12.6,5.19,7.37
12.8,4.65,7.08
13.1,5.11,7.38
12.7,5.46,7.65
14.2,5.47,8.04
14.4,4.99,7.24
14.1,5.10,7.44
15.7,5.19,7.39
14.9,5.60,7.60
14.5,5.56,7.58
15.8,5.22,7.32
15.2,5.72,7.61
14.4,5.72,7.59
14.7,6.13,7.99
15.3,5.82,7.90
14.3,5.33,7.58
13.0,5.54,7.66
11.7,5.30,7.82
10.3,5.65,8.04
9.2,4.91,7.85
7.9,4.83,8.24
7.0,4.63,8.11
5.7,5.23,8.43
4.0,4.81,8.21
2.7,5.45,8.99
1.0,5.06,8.73
1.5,99.00,99.00
4.6,4.59,8.55
6.8,4.68,8.83
9.3,4.41,8.62
8.7,4.37,8.47
9.6,4.38,8.12
9.5,3.76,7.67
7.7,3.67,7.70
8.3,4.09,8.37
6.6,3.95,8.12
7.9,3.60,8.06
7.2,3.74,8.48
7.2,3.87,8.47
7.2,3.54,8.30
6.3,3.38,8.10
6.2,3.70,8.74
5.5,3.50,8.66
5.6,3.26,8.16
5.4,3.02,7.82
5.0,2.96,8.10
6.6,3.09,8.18
3.8,3.01,8.06
4.4,2.85,8.04
4.6,2.97,8.72
3.9,2.55,8.10
4.2,3.01,8.80
2.9,2.77,8.41
3.6,3.10,8.61
3.6,2.66,8.10
4.3,2.71,8.19
4.2,2.45,7.68
3.4,2.65,7.61
4.3,2.11,6.97
5.0,2.22,7.12
5.2,2.30,7.38
6.6,2.17,7.48
7.5,2.27,7.03
7.8,2.22,7.06
8.2,2.34,7.17
8.3,2.42,6.81
8.2,2.39,6.76
8.5,2.27,6.20
8.4,2.33,6.38
7.6,2.47,6.52
8.1,2.45,6.32
8.4,2.42,6.17
7.6,2.29,5.73
6.9,2.25,6.16
6.4,2.23,6.44
5.7,2.28,6.65
5.0,2.18,6.92
5.3,2.21,7.23
4.7,1.99,7.02
4.2,2.15,7.25
5.1,2.22,7.33
5.4,2.13,7.07
5.9,2.19,7.43
4.7,2.15,7.15
4.3,2.31,7.06
5.9,2.20,6.65
6.3,2.40,6.91
6.0,2.27,6.98
5.1,2.27,7.32
4.4,2.36,7.32
5.9,2.28,7.40
6.2,2.21,7.40
5.8,2.18,7.76
6.5,2.26,7.55
6.4,2.44,7.41
6.7,2.47,7.73
6.1,2.39,7.41
5.4,2.65,7.43
5.1,2.53,7.12
4.7,2.53,7.00
5.7,2.50,7.30
6.0,2.42,7.15
4.9,2.32,7.40
4.8,2.13,7.37
5.0,2.27,7.70
4.3,2.00,7.24
4.2,2.26,7.74
4.5,2.22,7.46
3.0,2.14,7.44
4.0,2.22,7.42
4.3,2.36,7.49
5.9,1.99,6.98
6.8,2.10,6.78
6.9,1.90,6.39
8.0,1.96,6.24
8.0,1.91,5.95
8.2,1.89,5.71
7.8,1.79,5.79
7.5,2.14,6.28
7.2,2.01,6.04
5.8,1.94,5.81
6.4,1.90,5.96
6.4,2.12,6.38
7.1,2.10,6.24
6.7,2.52,6.68
6.6,2.28,6.62
6.2,2.15,6.49
5.6,2.21,6.89
5.6,2.06,6.70
6.1,2.24,6.91
5.9,1.97,6.55
6.4,2.08,6.54
5.5,2.13,6.63
5.8,2.32,6.73
6.4,2.02,6.39
6.6,2.20,7.06
6.7,2.14,6.43
6.3,2.31,7.06
6.1,2.11,6.57
5.2,2.16,6.83
5.4,2.14,7.04
5.2,2.09,7.00
5.0,2.13,7.04
5.6,2.19,7.43
5.6,1.96,6.59
6.1,2.12,6.57
7.0,2.13,6.30
7.8,2.27,6.39
8.5,2.21,6.31
8.2,2.08,5.79
8.9,2.17,5.77
9.1,2.32,5.83
10.2,2.39,5.72
10.6,2.32,5.75
10.6,2.31,5.43
10.8,2.43,5.55
11.0,2.55,5.43
11.1,2.75,5.79
11.2,2.67,5.55
12.2,2.88,5.96
11.5,3.24,6.20
9.4,3.05,6.04
6.0,3.22,6.41
4.2,2.95,6.31
3.2,2.85,6.41
2.9,2.87,6.65
2.6,2.79,6.79
2.3,2.48,6.61
3.2,2.40,6.33
2.2,2.65,6.82
1.5,2.60,6.42
4.2,2.87,6.79
3.8,2.74,6.95
4.1,2.79,6.78
4.9,2.77,6.87
4.9,3.03,7.48
4.9,2.93,7.45
6.7,3.05,7.87
7.8,2.78,7.79
9.3,2.92,7.47
10.1,2.86,7.10
9.8,2.89,6.83
9.8,2.76,6.53
9.3,3.11,7.12
9.5,3.11,6.91
9.8,3.32,7.33
9.6,3.26,7.18
10.3,3.06,7.00
9.6,3.22,7.26
9.0,3.09,7.03
8.7,2.88,7.19
