WSPD,WVHT,APD
8.2,1.24,4.79
7.0,1.18,4.71
7.9,1.08,4.81
8.3,1.12,4.90
7.7,1.18,4.94
8.1,1.16,4.81
8.2,1.09,4.75
8.8,1.16,4.50
8.7,1.31,4.78
8.7,1.32,4.68
8.8,1.33,4.82
8.0,1.32,4.68
9.1,1.33,4.91
9.3,1.32,4.80
9.3,1.25,4.67
9.7,1.36,4.76
8.7,1.46,4.91
8.9,1.41,4.85
9.6,1.43,4.73
9.0,1.52,4.87
9.9,1.51,4.82
9.8,1.56,5.00
9.9,1.49,4.93
9.8,1.70,4.98
9.0,1.58,4.84
9.5,1.45,4.77
10.0,1.55,4.86
9.9,1.56,4.85
10.0,1.63,4.91
9.8,1.63,4.67
10.0,1.47,4.68
10.1,1.60,4.80
9.4,1.57,4.82
9.8,1.55,4.85
10.2,1.61,5.01
10.6,1.60,4.93
11.0,1.66,4.94
10.9,1.56,4.93
11.2,1.61,4.86
10.9,1.82,4.93
10.9,1.71,5.00
11.5,1.79,4.91
12.0,1.85,4.87
11.7,1.93,5.09
11.1,2.00,5.18
9.3,1.71,5.06
10.6,1.70,5.01
11.0,1.66,4.91
10.1,1.60,4.89
9.5,1.63,4.97
10.3,1.60,4.99
10.0,1.69,5.04
10.5,1.82,5.09
10.8,1.74,5.05
10.6,1.76,5.03
10.0,1.77,5.13
9.2,1.90,5.20
9.5,1.79,5.29
8.9,1.74,5.25
9.3,1.74,5.15
9.0,1.65,5.29
8.7,1.77,5.28
8.9,1.63,5.22
8.9,1.63,5.27
8.8,1.67,5.13
10.1,1.85,5.15
7.9,1.76,5.18
8.3,1.72,5.32
7.3,1.85,5.30
8.6,1.65,5.16
8.4,1.52,5.09
10.3,1.65,5.24
8.5,1.61,4.97
7.4,1.64,4.95
9.7,1.55,4.99
10.2,1.52,4.80
9.9,1.66,5.01
9.6,1.61,4.86
9.7,1.62,5.03
9.4,1.65,5.00
9.4,1.58,4.94
8.8,1.60,5.06
8.5,1.65,5.11
8.7,1.66,5.16
8.2,1.66,5.21
7.6,1.65,5.32
8.1,1.55,5.27
7.8,1.41,5.12
8.3,1.46,5.15
7.6,1.32,4.99
6.7,1.37,4.93
7.5,1.43,5.00
7.5,1.32,4.69
8.2,1.33,4.90
7.2,1.27,4.69
8.0,1.27,4.75
7.6,1.16,4.60
7.7,1.24,4.73
7.4,1.10,4.65
6.7,1.04,4.66
5.8,1.06,4.70
6.3,0.99,4.70
6.2,0.95,4.72
5.5,0.90,4.67
5.7,0.92,4.73
6.7,0.95,4.90
8.3,0.99,4.68
8.1,1.03,4.60
7.8,1.15,4.61
8.9,1.08,4.52
8.2,1.07,4.53
7.4,1.20,4.61
7.5,1.18,4.71
7.9,1.16,4.83
7.3,1.20,4.64
7.8,1.23,4.86
7.5,1.33,4.87
6.3,1.23,4.90
6.5,1.26,5.11
7.0,1.28,5.20
7.4,1.27,5.02
6.9,1.25,5.01
7.3,1.21,4.88
8.5,1.25,4.84
7.7,1.23,4.89
7.9,1.21,4.67
7.1,1.39,4.92
9.4,1.36,5.09
8.9,1.42,5.03
8.7,1.45,4.70
9.4,1.50,4.91
10.0,1.46,4.80
9.8,1.39,4.65
9.1,1.51,4.75
8.6,1.50,4.80
9.1,1.44,4.96
8.0,1.39,4.85
8.5,1.38,4.98
9.1,1.35,5.12
8.9,1.40,4.88
8.8,1.47,4.89
9.2,1.54,5.10
8.3,1.52,4.88
7.9,1.52,5.16
6.9,1.39,4.96
7.0,1.41,5.13
6.9,1.41,5.06
6.7,1.27,5.03
7.4,1.29,4.94
9.3,1.43,4.75
8.0,1.60,4.86
4.1,1.38,4.93
6.1,1.46,4.82
6.3,1.46,4.84
7.4,1.64,5.07
7.8,1.46,4.87
7.3,1.48,5.28
7.8,1.42,5.24
8.3,1.47,5.50
7.8,1.50,5.37
6.3,1.46,5.63
5.0,1.45,5.57
5.4,1.34,5.59
4.5,1.31,5.79
6.0,1.29,5.72
8.3,1.35,5.62
8.2,1.33,5.17
8.3,1.40,5.17
8.4,1.49,5.23
9.4,1.49,5.06
8.6,1.55,5.02
8.9,1.59,4.98
8.8,1.51,4.86
8.4,1.42,4.60
7.7,1.56,4.82
7.6,1.44,4.93
6.9,1.37,4.92
7.4,1.35,5.07
8.2,1.46,5.08
7.8,1.42,5.28
7.3,1.48,5.65
7.4,1.61,5.83
7.0,1.56,5.62
7.9,1.75,5.97
5.6,1.66,6.06
6.6,1.83,6.16
6.9,1.69,5.89
7.5,1.77,6.14
7.1,1.75,5.89
7.0,1.65,5.78
7.2,1.75,5.72
6.9,1.69,5.70
5.7,1.64,5.50
5.3,1.86,6.32
4.6,1.63,6.06
5.0,1.72,6.39
4.5,1.66,6.22
4.5,1.65,6.28
3.7,1.61,6.34
4.5,1.54,6.24
4.7,1.54,6.44
4.7,1.40,6.36
4.9,1.45,6.43
5.7,1.49,6.62
6.3,1.51,6.38
5.5,1.39,6.17
6.1,1.60,6.36
3.9,1.65,6.43
5.7,1.62,6.42
3.9,1.48,6.20
3.2,1.53,6.38
3.3,1.63,6.70
2.5,1.63,6.67
5.0,1.49,6.50
3.6,1.48,6.25
2.2,1.55,6.18
2.0,1.69,6.16
4.6,1.61,5.97
3.9,1.75,6.22
0.3,1.65,6.28
0.6,1.57,6.22
3.3,1.56,6.19
1.7,1.38,6.19
0.6,1.64,6.64
0.7,1.45,6.52
3.4,1.44,6.53
3.1,1.45,6.80
0.9,1.40,6.27
2.0,1.38,6.46
3.5,1.35,6.22
1.5,1.42,6.52
3.5,1.31,6.66
4.7,1.38,6.82
3.6,1.41,6.87
3.3,1.40,6.78
4.0,1.25,6.65
3.3,1.20,6.56
2.5,1.28,6.89
1.9,1.21,6.62
5.3,1.59,7.15
4.1,1.82,7.11
0.3,1.87,7.01
1.5,1.82,6.74
9.3,1.97,6.54
8.6,2.24,6.63
8.3,2.44,6.76
10.9,3.14,6.90
13.5,3.55,7.13
13.1,3.32,6.68
12.9,3.21,6.40
13.5,3.47,6.80
12.8,3.35,6.51
13.1,3.38,6.61
12.7,3.20,6.40
11.9,3.32,6.41
12.5,3.50,6.52
11.9,3.12,6.42
11.4,3.32,6.54
10.4,3.15,6.48
9.7,3.08,6.57
10.6,3.22,6.89
10.7,3.38,6.98
10.9,3.13,6.78
11.7,2.85,6.30
11.0,3.14,6.60
10.7,2.87,6.53
11.4,2.95,6.60
11.2,2.82,6.21
9.7,2.79,6.27
9.7,2.51,6.35
8.4,2.40,6.05
9.6,2.13,5.94
10.8,2.38,6.06
11.0,2.34,5.83
11.7,2.26,5.64
12.0,2.16,5.37
11.9,2.28,5.50
11.0,2.38,5.27
10.1,2.18,5.42
10.0,2.11,5.23
10.7,2.09,5.43
10.9,2.22,5.42
11.1,1.96,5.00
9.9,2.01,5.30
11.1,1.83,5.18
11.2,1.88,5.21
10.2,1.93,5.25
9.5,1.87,5.18
11.5,1.76,5.10
10.8,1.98,5.11
11.9,1.91,5.14
11.5,2.00,5.07
9.8,1.98,5.09
9.6,1.87,5.06
10.2,2.03,5.14
10.7,1.89,4.96
10.9,1.96,4.89
11.8,1.98,4.93
12.1,2.02,4.85
12.4,2.18,4.91
12.7,2.11,4.90
12.1,2.23,5.02
12.7,2.18,4.85
11.8,2.32,5.03
11.1,2.12,5.09
12.1,2.35,5.19
13.1,2.24,5.07
12.7,2.46,5.46
12.6,2.36,5.34
12.8,2.64,5.47
13.1,2.59,5.40
14.3,2.63,5.43
13.4,2.68,5.43
13.4,2.73,5.68
