YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2007,01,05,08,00,251,13.2,17.3,6.12,13.79,8.56,999,994.6,2.5,3.9,999.0,99.0,99.00
2007,01,05,09,00,247,14.2,18.1,6.21,13.79,8.56,999,994.7,3.6,4.0,999.0,99.0,99.00
2007,01,05,10,00,244,10.8,14.0,7.04,12.90,9.36,999,995.1,2.5,4.0,999.0,99.0,99.00
2007,01,05,11,00,243,12.6,16.2,6.68,12.90,9.03,999,994.5,3.7,4.0,999.0,99.0,99.00
2007,01,05,12,00,228,11.3,14.5,6.15,13.79,8.77,999,994.5,3.2,4.0,999.0,99.0,99.00
2007,01,05,13,00,236,12.6,15.7,6.17,14.81,8.66,999,994.5,3.2,3.9,999.0,99.0,99.00
2007,01,05,14,00,232,10.9,13.4,6.10,16.00,8.84,999,994.2,3.1,3.9,999.0,99.0,99.00
2007,01,05,15,00,223,13.0,16.2,6.12,14.81,8.85,999,993.0,2.2,3.9,999.0,99.0,99.00
2007,01,05,16,00,273,6.5,9.6,7.06,13.79,9.80,999,993.0,0.1,3.9,999.0,99.0,99.00
2007,01,05,17,00,231,5.2,7.5,6.71,14.81,9.56,999,992.7,1.5,3.9,999.0,99.0,99.00
2007,01,05,18,00,256,7.5,9.8,6.79,14.81,9.56,999,992.1,1.6,3.9,999.0,99.0,99.00
2007,01,05,19,00,276,10.5,13.7,6.40,12.90,8.87,999,994.9,2.5,4.0,999.0,99.0,99.00
2007,01,05,20,00,258,15.5,21.2,7.59,14.81,9.56,999,995.9,3.4,4.0,999.0,99.0,99.00
2007,01,05,21,00,273,14.7,20.2,7.38,16.00,9.45,999,996.9,2.2,4.0,999.0,99.0,99.00
2007,01,05,22,00,265,17.7,21.7,6.97,12.90,8.58,999,998.3,2.5,4.0,999.0,99.0,99.00
2007,01,05,23,00,275,18.9,22.9,7.55,14.81,8.87,999,1000.5,1.8,3.9,999.0,99.0,99.00
2007,01,06,00,00,280,17.8,22.6,8.07,14.81,9.54,999,1002.6,1.3,4.0,999.0,99.0,99.00
2007,01,06,01,00,280,17.0,20.8,8.41,16.00,9.81,999,1004.5,1.0,4.0,999.0,99.0,99.00
2007,01,06,02,00,291,14.7,19.0,7.66,14.81,9.44,999,1007.2,0.4,4.0,999.0,99.0,99.00
2007,01,06,03,00,282,13.0,17.3,7.44,13.79,9.58,999,1008.1,-0.1,4.0,999.0,99.0,99.00
2007,01,06,04,00,294,12.1,15.4,7.10,13.79,9.36,999,1009.1,-0.6,4.0,999.0,99.0,99.00
2007,01,06,05,00,299,10.7,13.5,7.38,16.00,9.98,999,1009.6,-0.6,4.0,999.0,99.0,99.00
2007,01,06,06,00,299,9.0,11.2,7.17,16.00,10.02,999,1009.8,-0.8,4.0,999.0,99.0,99.00
2007,01,06,07,00,299,7.2,9.7,6.82,16.00,9.89,999,1009.7,-1.1,4.0,999.0,99.0,99.00
2007,01,06,08,00,315,6.7,9.2,7.12,16.00,10.00,999,1009.4,-1.2,3.9,999.0,99.0,99.00
2007,01,06,09,00,324,4.5,6.7,6.75,16.00,9.63,999,1009.1,-1.4,3.9,999.0,99.0,99.00
2007,01,06,10,00,339,4.2,7.2,6.01,16.00,9.41,999,1008.5,-1.3,3.9,999.0,99.0,99.00
2007,01,06,11,00,336,3.4,4.9,6.16,16.00,9.46,999,1008.2,-1.3,3.9,999.0,99.0,99.00
2007,01,06,12,00,21,6.4,8.7,5.49,16.00,9.11,999,1004.8,-1.4,3.9,999.0,99.0,99.00
2007,01,06,13,00,24,6.7,9.4,4.56,13.79,8.39,999,1004.5,-1.3,3.9,999.0,99.0,99.00
2007,01,06,14,00,32,7.4,11.2,4.97,12.90,8.75,999,1003.3,-1.3,3.9,999.0,99.0,99.00
2007,01,06,15,00,33,8.2,11.2,4.42,13.79,8.53,999,1001.6,-1.2,3.9,999.0,99.0,99.00
2007,01,06,16,00,24,8.2,11.3,4.45,14.81,8.67,999,1001.3,-0.9,3.8,999.0,99.0,99.00
2007,01,06,17,00,27,9.6,12.7,4.18,13.79,8.31,999,1000.7,-0.9,3.8,999.0,99.0,99.00
2007,01,06,18,00,15,9.8,12.1,4.17,16.00,8.25,999,1000.4,-0.7,3.8,999.0,99.0,99.00
2007,01,06,19,00,17,9.7,12.4,3.86,12.90,7.97,999,1000.6,-0.3,3.9,999.0,99.0,99.00
2007,01,06,20,00,11,9.7,11.6,3.54,14.81,7.72,999,1001.4,0.0,3.9,999.0,99.0,99.00
2007,01,06,21,00,359,7.9,9.8,3.66,13.79,7.88,999,1002.7,0.1,3.9,999.0,99.0,99.00
2007,01,06,22,00,353,8.6,10.5,3.21,14.81,7.57,999,1003.6,0.2,3.9,999.0,99.0,99.00
2007,01,06,23,00,339,7.4,8.6,3.24,12.90,7.60,999,1004.8,0.3,3.9,999.0,99.0,99.00
2007,01,07,00,00,333,6.2,8.1,3.00,13.79,7.28,999,1005.7,0.4,3.9,999.0,99.0,99.00
2007,01,07,01,00,312,5.8,7.1,3.03,13.79,7.44,999,1006.9,-0.1,3.9,999.0,99.0,99.00
2007,01,07,02,00,288,3.4,5.0,2.87,12.90,7.29,999,1008.2,0.4,3.9,999.0,99.0,99.00
2007,01,07,03,00,255,5.1,7.0,2.79,12.90,7.13,999,1009.0,0.5,3.8,999.0,99.0,99.00
2007,01,07,04,00,235,6.8,8.6,2.54,12.90,6.90,999,1009.5,0.3,3.8,999.0,99.0,99.00
2007,01,07,05,00,228,8.3,10.2,2.30,13.79,6.56,999,1009.7,0.5,3.8,999.0,99.0,99.00
2007,01,07,06,00,217,11.0,13.3,2.68,12.90,7.08,999,1009.5,0.4,3.8,999.0,99.0,99.00
2007,01,07,07,00,213,11.8,13.8,2.82,12.90,6.82,999,1009.2,0.9,3.9,999.0,99.0,99.00
2007,01,07,08,00,214,12.5,15.9,3.90,13.79,7.85,999,1008.4,2.0,3.9,999.0,99.0,99.00
2007,01,07,09,00,233,13.3,17.2,4.32,12.90,7.93,999,1008.3,3.2,3.9,999.0,99.0,99.00
2007,01,07,10,00,228,13.7,16.7,4.03,13.79,7.20,999,1008.1,2.3,3.9,999.0,99.0,99.00
2007,01,07,11,00,266,12.2,15.3,4.20,13.79,7.36,999,1008.5,1.8,3.9,999.0,99.0,99.00
2007,01,07,12,00,290,12.9,15.4,4.10,12.90,7.03,999,1009.5,1.6,3.9,999.0,99.0,99.00
2007,01,07,13,00,287,12.5,15.5,4.27,12.90,6.95,999,1010.9,1.2,3.9,999.0,99.0,99.00
2007,01,07,14,00,298,11.8,14.2,4.21,13.79,7.05,999,1012.0,0.6,3.9,999.0,99.0,99.00
2007,01,07,15,00,290,12.0,14.3,4.07,13.79,7.11,999,1013.0,0.0,3.8,999.0,99.0,99.00
2007,01,07,16,00,302,11.6,14.2,4.10,13.79,7.19,999,1014.0,-0.9,3.8,999.0,99.0,99.00
2007,01,07,17,00,294,9.8,12.6,4.25,13.79,7.43,999,1015.3,-0.8,3.8,999.0,99.0,99.00
2007,01,07,18,00,294,10.0,13.3,4.16,13.79,7.43,999,1016.4,-1.1,3.8,999.0,99.0,99.00
2007,01,07,19,00,301,11.1,13.4,3.90,12.90,7.18,999,1017.4,-1.2,3.8,999.0,99.0,99.00
2007,01,07,20,00,297,9.9,14.9,3.93,12.90,7.19,999,1018.7,-2.2,3.8,999.0,99.0,99.00
2007,01,07,21,00,299,9.5,12.7,4.21,13.79,7.40,999,1019.8,-2.5,3.8,999.0,99.0,99.00
2007,01,07,22,00,308,8.3,11.2,3.77,9.09,7.06,999,1020.7,-2.6,3.8,999.0,99.0,99.00
2007,01,07,23,00,305,9.8,12.4,4.12,12.90,7.36,999,1021.0,-2.8,3.9,999.0,99.0,99.00
2007,01,08,00,00,310,9.4,12.3,3.99,12.90,7.31,999,1021.3,-2.8,3.9,999.0,99.0,99.00
2007,01,08,01,00,315,10.3,13.0,3.46,8.33,6.93,999,1021.8,-2.8,3.9,999.0,99.0,99.00
2007,01,08,02,00,330,9.9,11.8,3.79,9.09,7.12,999,1023.0,-3.1,3.9,999.0,99.0,99.00
2007,01,08,03,00,322,8.1,11.4,3.62,9.09,7.03,999,1024.5,-3.4,3.9,999.0,99.0,99.00
2007,01,08,04,00,328,8.0,12.7,3.36,9.09,6.75,999,1025.6,-3.4,3.9,999.0,99.0,99.00
2007,01,08,05,00,312,9.7,13.3,3.40,8.33,6.82,999,1026.7,-3.2,3.9,999.0,99.0,99.00
2007,01,08,06,00,329,9.8,12.2,3.59,8.33,7.04,999,1027.6,-2.9,3.9,999.0,99.0,99.00
2007,01,08,07,00,334,9.5,12.4,3.20,8.33,6.56,999,1028.5,-3.1,3.9,999.0,99.0,99.00
2007,01,08,08,00,338,8.7,10.7,3.05,8.33,6.39,999,1029.5,-3.3,3.8,999.0,99.0,99.00
2007,01,08,09,00,331,8.3,10.2,3.26,7.69,6.65,999,1030.3,-3.0,3.8,999.0,99.0,99.00
2007,01,08,10,00,328,10.0,12.7,3.02,8.33,6.35,999,1031.1,-2.9,3.8,999.0,99.0,99.00
2007,01,08,11,00,331,10.0,13.0,3.13,8.33,6.49,999,1031.8,-2.6,3.8,999.0,99.0,99.00
2007,01,08,12,00,330,11.0,14.4,3.25,8.33,6.34,999,1033.0,-2.1,3.8,999.0,99.0,99.00
2007,01,08,13,00,330,11.2,13.9,3.02,11.43,6.00,999,1033.8,-2.0,3.8,999.0,99.0,99.00
2007,01,08,14,00,332,10.4,13.6,3.20,8.33,6.17,999,1034.0,-1.6,3.9,999.0,99.0,99.00
2007,01,08,15,00,332,9.4,11.5,3.19,10.00,6.43,999,1034.1,-1.5,3.9,999.0,99.0,99.00
2007,01,08,16,00,322,8.1,10.2,2.93,8.33,6.22,999,1034.4,-1.3,3.9,999.0,99.0,99.00
2007,01,08,17,00,320,7.1,9.3,3.10,8.33,6.41,999,1035.0,-0.8,3.9,999.0,99.0,99.00
2007,01,08,18,00,300,9.8,12.4,3.16,8.33,6.45,999,1036.0,-0.4,3.9,999.0,99.0,99.00
2007,01,08,19,00,286,8.2,10.9,2.77,8.33,6.10,999,1036.7,-0.4,3.9,999.0,99.0,99.00
2007,01,08,20,00,287,10.7,13.8,2.81,7.69,6.19,999,1036.7,0.2,3.9,999.0,99.0,99.00
2007,01,08,21,00,265,11.5,14.1,2.85,7.69,5.91,999,1036.2,0.6,3.9,999.0,99.0,99.00
2007,01,08,22,00,264,11.7,14.0,2.89,8.33,5.71,999,1035.1,1.2,3.9,999.0,99.0,99.00
2007,01,08,23,00,265,14.0,16.5,2.89,8.33,5.63,999,1033.8,2.0,3.9,999.0,99.0,99.00
2007,01,09,00,00,262,14.3,17.4,3.00,7.69,5.50,999,1032.5,2.5,3.9,999.0,99.0,99.00
2007,01,09,01,00,266,14.3,17.7,3.19,7.69,5.58,999,1031.7,2.7,3.9,999.0,99.0,99.00
2007,01,09,02,00,288,12.6,15.8,3.61,7.69,5.98,999,1032.1,1.1,3.8,999.0,99.0,99.00
2007,01,09,03,00,299,10.9,12.7,3.64,8.33,6.26,999,1032.8,1.4,3.8,999.0,99.0,99.00
2007,01,09,04,00,307,9.6,11.6,3.29,9.09,6.16,999,1033.2,1.6,3.8,999.0,99.0,99.00
2007,01,09,05,00,307,11.1,13.1,3.33,9.09,6.20,999,1033.4,2.3,3.7,999.0,99.0,99.00
2007,01,09,06,00,318,11.0,13.7,3.33,7.69,6.11,999,1034.0,2.4,3.7,999.0,99.0,99.00
2007,01,09,07,00,317,11.7,13.8,3.62,8.33,6.39,999,1034.2,2.4,3.7,999.0,99.0,99.00
2007,01,09,08,00,315,10.3,12.4,3.28,9.09,6.33,999,1034.8,2.3,3.7,999.0,99.0,99.00
2007,01,09,09,00,303,9.7,11.7,2.96,9.09,6.01,999,1035.1,2.3,3.7,999.0,99.0,99.00
2007,01,09,10,00,305,8.6,10.6,2.80,9.09,5.99,999,1035.5,2.4,3.7,999.0,99.0,99.00
2007,01,09,11,00,299,7.7,9.4,2.95,8.33,6.17,999,1035.3,2.4,3.7,999.0,99.0,99.00
2007,01,09,12,00,292,5.9,7.0,2.68,10.00,6.01,999,1035.2,1.3,3.7,999.0,99.0,99.00
2007,01,09,13,00,300,8.5,10.2,2.96,7.69,6.17,999,1035.5,1.7,3.7,999.0,99.0,99.00
2007,01,09,14,00,292,8.1,9.9,2.93,8.33,6.07,999,1035.6,2.4,3.7,999.0,99.0,99.00
2007,01,09,15,00,308,5.1,6.9,2.65,8.33,5.90,999,1035.3,2.0,3.8,999.0,99.0,99.00
2007,01,09,16,00,278,8.4,9.9,2.61,9.09,5.65,999,1035.2,2.9,3.8,999.0,99.0,99.00
2007,01,09,17,00,281,7.4,9.4,2.71,9.09,5.86,999,1035.2,2.8,3.8,999.0,99.0,99.00
2007,01,09,18,00,277,6.8,7.9,2.61,9.09,5.71,999,1035.5,2.8,3.8,999.0,99.0,99.00
2007,01,09,19,00,268,7.0,8.3,2.37,9.09,5.81,999,1036.2,2.8,3.7,999.0,99.0,99.00
2007,01,09,20,00,253,6.8,8.1,2.15,8.33,5.58,999,1036.0,2.6,3.7,999.0,99.0,99.00
2007,01,09,21,00,239,5.7,7.0,2.05,9.09,5.92,999,1036.1,2.6,3.7,999.0,99.0,99.00
2007,01,09,22,00,234,6.2,7.7,1.94,6.67,5.67,999,1035.8,2.7,3.7,999.0,99.0,99.00
2007,01,09,23,00,231,6.9,8.2,2.01,6.67,5.75,999,1035.3,2.8,3.7,999.0,99.0,99.00
2007,01,10,00,00,224,7.1,8.0,2.01,6.67,5.68,999,1034.7,2.9,3.7,999.0,99.0,99.00
2007,01,10,01,00,227,7.8,9.8,1.84,9.09,5.48,999,1034.2,3.0,3.7,999.0,99.0,99.00
2007,01,10,02,00,214,7.9,9.7,1.82,9.09,5.18,999,1033.5,3.0,3.7,999.0,99.0,99.00
2007,01,10,03,00,217,8.8,10.4,2.01,6.25,5.20,999,1033.3,3.0,3.7,999.0,99.0,99.00
2007,01,10,04,00,208,8.5,10.3,1.97,6.25,5.03,999,1032.9,3.2,3.7,999.0,99.0,99.00
2007,01,10,05,00,204,9.7,11.4,2.02,7.69,5.01,999,1032.5,3.3,3.7,999.0,99.0,99.00
2007,01,10,06,00,201,10.3,12.3,2.18,6.67,5.12,999,1031.9,3.3,3.8,999.0,99.0,99.00
2007,01,10,07,00,196,10.0,12.3,2.49,10.81,5.63,999,1031.7,3.4,3.8,999.0,99.0,99.00
2007,01,10,08,00,195,10.5,12.9,3.18,10.81,6.37,999,1031.3,3.5,3.8,999.0,99.0,99.00
2007,01,10,09,00,196,11.2,13.3,3.50,10.81,7.19,999,1031.3,3.5,3.7,999.0,99.0,99.00
2007,01,10,10,00,192,10.6,13.1,4.03,11.43,7.53,999,1030.6,3.6,3.7,999.0,99.0,99.00
2007,01,10,11,00,195,11.7,14.3,3.83,12.90,7.40,999,1030.1,3.6,3.7,999.0,99.0,99.00
